Attribute,Pretty Name,ACC
Days from randomization to diagnosis of lung cancer,Diagnosing,0.8784629745284553
Days from randomization to diagnosis of lung cancer,Carcinoma Of The Lung,0.99
Clinical M for staging,Distantly,0.3131477702399897
Clinical M for staging,Secondary Malignancies,0.99
Clinical M for staging,Unclassified Tumour Malignant,0.99
Clinical M for staging,Distantly,0.3585155692687921
Clinical M for staging,Metastasis From Malignant Neoplasm,0.908818869083051
Clinical M for staging,Presentations,0.7704798873616743
Clinical M for staging,Unclassified Tumour Malignant,0.9797809825500228
Clinical M for staging,Metastasis Present In Distant Organ,1.0
Clinical M for staging,Distant Metastasis Cannot Be Assessed Finding,1.0
Clinical M for staging,Informations,0.341380539753926
AJCC 7th edition staging clinical M component,Distantly,0.3543893837337026
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.99
AJCC 7th edition staging clinical M component,Malignant Neoplastic Disease,0.99
AJCC 7th edition staging clinical M component,Distantly,0.395324403765892
AJCC 7th edition staging clinical M component,Metastasis From Malignant Neoplasm,0.99
AJCC 7th edition staging clinical M component,Presentations,0.7957410417114599
AJCC 7th edition staging clinical M component,Unclassified Tumour Malignant,0.99
AJCC 7th edition staging clinical M component,Metastasis Present In Distant Organ,1.0
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.99
AJCC 7th edition staging clinical M component,Pleural Nodule,1.0
AJCC 7th edition staging clinical M component,Distantly,0.5704934680021289
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.860326831675338
AJCC 7th edition staging clinical M component,Organs Anatomy,0.3418686231216044
AJCC 7th edition staging clinical M component,Thoracic Structure,0.7855247243480978
AJCC 7th edition staging clinical M component,Distant Metastasis Cannot Be Assessed Finding,1.0
Clinical N for staging,Pn1 Regional Lymph Node Stage Finding,1.0
Clinical N for staging,Unclassified Tumour Malignant,0.99
Clinical N for staging,Near To,1.0
Clinical N for staging,Reticuloendothelial System Lymph Node,0.7268041959822873
Clinical N for staging,Secondary Malignancies,0.9022451512042132
Clinical N for staging,Near To,1.0
Clinical N for staging,Reticuloendothelial System Lymph Node,0.721781388815507
Clinical N for staging,Tumour Tissue Sample,0.7960783750804097
Clinical N for staging,Secondary Malignancies,0.9728356155030868
Clinical N for staging,Set Of Regional Lymph Nodes,1.0
Clinical N for staging,Distal Qualifier Value,0.4125352673268351
Clinical N for staging,Tumour Tissue Sample,0.7975234139250745
Clinical N for staging,Anatomic Node,0.99
Clinical N for staging,Secondary Malignancies,0.772921194202503
Clinical N for staging,Reticuloendothelial System Lymph Node,0.7903173331779138
Clinical N for staging,Nodus Lymphaticus Supraclavicularis Axillae,0.5667645333354849
Clinical N for staging,Bone Structure Of Clavicle,1.0
Clinical N for staging,Set Of Regional Lymph Nodes,1.0
Clinical N for staging,Informations,0.5582183352479919
Clinical Stage,Carcinoma Of The Lung,0.8993955922029292
Clinical Stage,Iiia Virus,1.0
Clinical Stage,Stage Iiib Testicular Cancer Ajcc V6 And V7,1.0
Clinical T for staging,Tumour Tissue Sample,0.8340543927794342
Clinical T for staging,Greatest,1.0
Clinical T for staging,Origin Of Organ,1.0
Clinical T for staging,Tumour Tissue Sample,0.7578446662056024
Clinical T for staging,Less Than Or Equal To,1.0
Clinical T for staging,Near To,1.0
Clinical T for staging,Structures,0.396652693961537
Clinical T for staging,Organs Anatomy,0.4104036527307168
Clinical T for staging,Tumour Tissue Sample,0.7815523382747767
Clinical T for staging,Direct Qualifier,1.0
Clinical T for staging,Near To,1.0
Clinical T for staging,Structures,0.4448140925303104
Clinical T for staging,Pleural Membrane Structure,0.5605181611522667
Clinical T for staging,Chest Wall Structure,0.99
Clinical T for staging,Tumour Tissue Sample,0.8708171648489667
Clinical T for staging,Near To,1.0
Clinical T for staging,Structures,0.488930964150561
Clinical T for staging,Organs Anatomy,0.3615149819041838
Clinical T for staging,Respiratory Diaphragms,0.5781700606348459
Clinical T for staging,Tumour Tissue Sample,0.7579397661748181
Clinical T for staging,Tumour Tissue Sample,0.7935641865129934
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.9260745622194616
AJCC 7th edition staging clinical T component,Greatest,1.0
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8524688501796116
AJCC 7th edition staging clinical T component,Greatest,1.0
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.7993632288612813
AJCC 7th edition staging clinical T component,Less Than Or Equal To,1.0
AJCC 7th edition staging clinical T component,Near To,1.0
AJCC 7th edition staging clinical T component,Structures,0.3799758762687901
AJCC 7th edition staging clinical T component,Organs Anatomy,0.3937340507987825
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.782800372518512
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8383258525463413
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.849463305114027
AJCC 7th edition staging clinical T component,Direct Qualifier,1.0
AJCC 7th edition staging clinical T component,Near To,1.0
AJCC 7th edition staging clinical T component,Structures,0.4369461512360651
AJCC 7th edition staging clinical T component,Pleural Membrane Structure,0.5628443670700687
AJCC 7th edition staging clinical T component,Chest Wall Structure,0.99
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8708171648489667
AJCC 7th edition staging clinical T component,Near To,1.0
AJCC 7th edition staging clinical T component,Structures,0.4866895759559234
AJCC 7th edition staging clinical T component,Organs Anatomy,0.3488740857447587
AJCC 7th edition staging clinical T component,Respiratory Diaphragms,0.4810159491702945
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.4603001457276784
Lung Cancer Grade,Cancer Grade,1.0
Lung Cancer Grade,Cancer Grade,1.0
Lung Cancer Grade,Third Grade In Elementary School,1.0
Lung Cancer Grade,G1 : Well Differentiated Histologic Grade Qualifier Value,1.0
Lung Cancer Grade,G3 : Poorly Differentiated Histologic Grade Qualifier Value,1.0
Lung Cancer Grade,G4 : Undifferentiated Histologic Grade Qualifier Value,1.0
Lung Cancer Grade,Histopathology Report,1.0
"Stage (""Best"": Path if avail., else Clin)",Diagnostic Neoplasm Staging,1.0
"Stage (""Best"": Path if avail., else Clin)",Pathologic Staging,1.0
"Stage (""Best"": Path if avail., else Clin)",Informations,0.3585859020010136
"Stage (""Best"": Path if avail., else Clin)",Iiia Virus,1.0
"Stage (""Best"": Path if avail., else Clin)",Stage Iiib Testicular Cancer Ajcc V6 And V7,1.0
AJCC 7th edition stage,Carcinoma Of The Lung,0.8850490192925646
AJCC 7th edition stage,Iiia Virus,1.0
AJCC 7th edition stage,Stage Iiib Testicular Cancer Ajcc V6 And V7,1.0
ICD-O-3 Morphology (from histology),Morphological,0.5041068959153641
ICD-O-3 Morphology (from histology),Carcinoma Of The Lung,0.8149807450943678
ICD-O-3 Morphology (from histology),Morphological,0.4239198592178861
ICD-O-3 Morphology (from histology),Coding Icd,1.0
ICD-O-3 Morphology (from histology),Representation Action,1.0
ICD-O-3 Morphology (from histology),Informations,0.7451962148519069
ICD-O-3 Morphology (from histology),Type Attribute,0.4093874104677406
ICD-O-3 Morphology (from histology),Unclassified Tumour Malignant,0.7722897566797018
Is this cancer the first lung cancer diagnosed?,Unclassified Tumour Malignant,0.99
Is this cancer the first lung cancer diagnosed?,Carcinoma Of The Lung,0.99
Is this cancer the first lung cancer diagnosed?,Diagnosing,1.0
Is this cancer the first lung cancer diagnosed?,Unclassified Tumour Malignant,0.99
Is this cancer the first lung cancer diagnosed?,Carcinoma Of The Lung,0.99
Is this cancer the first lung cancer diagnosed?,Diagnosing,1.0
Is this cancer the first lung cancer diagnosed?,Malignant Neoplasm Of Lung Multiple Primary Sites,1.0
Is this cancer the first lung cancer diagnosed?,Including Qualifier,1.0
Is this cancer the first lung cancer diagnosed?,Unclassified Tumour Malignant,0.99
ICD-O-3 Behavior,Behavioural Response To Stimulus,0.6474888279497109
ICD-O-3 Behavior,Behavioural Response To Stimulus,0.5619070645650183
ICD-O-3 Behavior,Carcinoma Of The Lung,0.8590117258610416
ICD-O-3 Behavior,Unclassified Tumour Malignant,0.5630279080319347
ICD-O-3 Behavior,Metastasis From Malignant Neoplasm,0.8360410061331832
ICD-O-3 Grade,Third Grade In Elementary School,1.0
ICD-O-3 Grade,Third Grade In Elementary School,1.0
ICD-O-3 Grade,Carcinoma Of The Lung,0.6714203885601948
ICD-O-3 Grade,Well Differentiated,0.3525683942259962
ICD-O-3 Grade,Well Differentiated,0.3034620359019658
ICD-O-3 Morphology,Morphological,0.4835569614182901
ICD-O-3 Morphology,Morphological,0.5948627749458331
ICD-O-3 Morphology,Carcinoma Of The Lung,0.8683441515002088
Order of this lung cancer among all lung cancers for this participant,Carcinoma Of The Lung,0.9585104922852778
Order of this lung cancer among all lung cancers for this participant,Carcinoma Of The Lung,0.9087722722581296
Order of this lung cancer among all lung cancers for this participant,Carcinoma Of The Lung,0.9330572050859236
Order of this lung cancer among all lung cancers for this participant,Carcinoma Of The Lung,0.9064130536266172
ICD-O-3 Topography,Carcinoma Of The Lung,0.99
ICD-O-3 Topography,Genus Salvelinus,1.0
Tumor size (mm) - Pathology,Tumour Tissue Sample,0.9142862672701904
Tumor size (mm) - Pathology,Pathology Field,0.6932644591429891
Pathologic Stage,Pathologic Staging,1.0
Pathologic Stage,Pathologic Staging,1.0
Pathologic Stage,Carcinoma Of The Lung,0.9492073266001468
Pathologic Stage,Iiia Virus,1.0
Pathologic Stage,Stage Iiib Testicular Cancer Ajcc V6 And V7,1.0
"Source of ""best"" stage (de_stag)",Sources,0.4202973451584753
"Source of ""best"" stage (de_stag)",Phased,0.3323573712350458
"Source of ""best"" stage (de_stag)",Indication Of Contextual Qualifier,1.0
"Source of ""best"" stage (de_stag)",Pathology Field,0.6973450075027496
"Stage Only (if separate T, N, & M not available)",Providing Action,0.6194365154827199
"Stage Only (if separate T, N, & M not available)",Phased,0.3138202251861542
"Stage Only (if separate T, N, & M not available)",Informations,0.7030087032989875
"Stage Only (if separate T, N, & M not available)",Carcinoma Of The Lung,0.6710869709011917
"Stage Only (if separate T, N, & M not available)",Carcinoma Of The Lung,0.6491603626426561
"Stage Only (if separate T, N, & M not available)",Pathologic Staging,1.0
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.99
"Stage Only (if separate T, N, & M not available)",Lymphomatous Nodal Involvement,0.99
"Stage Only (if separate T, N, & M not available)",Negative For Metastasis,0.4003725504370913
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.982820353103858
"Stage Only (if separate T, N, & M not available)",Lymphomatous Nodal Involvement,0.99
"Stage Only (if separate T, N, & M not available)",Negative For Metastasis,0.3980413277836264
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.9637100760440522
"Stage Only (if separate T, N, & M not available)",Lymphomatous Nodal Involvement,0.99
"Stage Only (if separate T, N, & M not available)",Negative For Metastasis,0.4488924077335744
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.99
"Stage Only (if separate T, N, & M not available)",Localised Disease,0.3952474900655667
"Stage Only (if separate T, N, & M not available)",Lymphomatous Nodal Involvement,0.99
"Stage Only (if separate T, N, & M not available)",Negative For Metastasis,0.4580366621890858
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.99
"Stage Only (if separate T, N, & M not available)",Reticuloendothelial System Lymph Node,0.7496522099792159
"Stage Only (if separate T, N, & M not available)",Negative For Metastasis,0.4496013370181755
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.99
"Stage Only (if separate T, N, & M not available)",Near To,1.0
"Stage Only (if separate T, N, & M not available)",Organs Anatomy,0.3506170165730851
"Stage Only (if separate T, N, & M not available)",Lymphomatous Nodal Involvement,0.99
"Stage Only (if separate T, N, & M not available)",Negative For Metastasis,0.4407883507117173
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.9632984028233826
"Stage Only (if separate T, N, & M not available)",Lymphomatous Nodal Involvement,0.99
"Stage Only (if separate T, N, & M not available)",Distantly,0.3969488594125092
"Stage Only (if separate T, N, & M not available)",Secondary Malignancies,0.8540888663263427
"Stage Only (if separate T, N, & M not available)",Tumour Tissue Sample,0.8327317828551701
Summary staging,Carcinoma Of The Lung,0.7874903274780156
Summary staging,Carcinoma Of The Lung,0.6995867540470599
Summary staging,Pathologic Staging,1.0
Study Year of Diagnosis,Diagnosing,0.7663785264725171
Study Year of Diagnosis,Diagnosing,1.0
Study Year of Diagnosis,One Year,1.0
Study Year of Diagnosis,Diagnosing,0.7708657502759899
Study Year of Diagnosis,Diagnosing,0.734874201294432
Study Year of Diagnosis,Diagnosing,0.7466541291894955
Study Year of Diagnosis,Diagnosing,0.7479573845400339
Study Year of Diagnosis,Diagnosing,0.7452233575625287
Study Year of Diagnosis,Diagnosing,0.6999710448041914
Source of samples for ICD-O-3 code,Sources,0.4231786012498369
Source of samples for ICD-O-3 code,Icd O 3 Code,1.0
Source of samples for ICD-O-3 code,Sources,0.3365786842583984
Source of samples for ICD-O-3 code,Informations,0.6275649978879084
Source of samples for ICD-O-3 code,Icd O 3 Code,1.0
VALCSG Stage (Small cell only),Phased,0.3692197694375206
VALCSG Stage (Small cell only),Cellular Structures,0.9258422352144844
VALCSG Stage (Small cell only),Cellular Structures,0.8955125014988491
VALCSG Stage (Small cell only),Carcinoma Of The Lung,0.99
VALCSG Stage (Small cell only),Carcinoma Of The Lung,0.9125403108743204
VALCSG Stage (Small cell only),Small Cell Neuroendocrine Carcinoma,1.0
VALCSG Stage (Small cell only),Limited Extensiveness,0.5433420238568689
Abnormality description,Abnormalities,0.3743838048042476
Abnormality description,Abnormalities,0.3729499639064024
Abnormality description,Screening Trials,0.3152221011990399
Abnormality description,Numbering System,1.0
Abnormality description,Calcified Qualifier,0.9605547920026772
Abnormality description,Mass Of Body Structure,0.7764517420175594
Abnormality description,Increased Mass To Volume Ratio,0.99
Abnormality description,4 Mm,1.0
Abnormality description,Diameter Qualifier Value,0.414740372887299
Abnormality description,Calcified Qualifier,0.9358237785240916
Abnormality description,Increased Mass To Volume Ratio,0.99
Abnormality description,4 Mm,1.0
Abnormality description,Diameter Qualifier Value,0.3629517545428999
Abnormality description,Small Mass Of The Lung,1.0
Abnormality description,Calcium Buildup In Soft Tissues Of Body,0.99
Abnormality description,Pulmonary Collapse With Atelectasis,0.99
Abnormality description,Thickening Of Pleura,1.0
Abnormality description,Free Fluid,0.99
Abnormality description,Calcified Qualifier,0.99
Abnormality description,Adenopathy Mediastinal,1.0
Abnormality description,Mass Of Body Structure,0.7452250464786251
Abnormality description,Shortest,0.99
Abnormality description,Chest Wall Structure,0.8611425224512443
Abnormality description,Destruction Action,0.820369000752059
Abnormality description,Secondary Malignancies,0.7072467854956572
Abnormality description,Etc .,1.0
Abnormality description,Pulmonary Consolidation,0.99
Abnormality description,Structure Of Cardiovascular System,0.4333389438487777
Abnormality description,Increased Mass To Volume Ratio,0.99
Abnormality description,Fibrous Tissue Formation,0.8446488898839322
Abnormality description,Unclassified Tumour Malignant,0.9464905412439087
Abnormality description,Increased Mass To Volume Ratio,0.99
Abnormality description,4 Mm,1.0
Abnormality description,Respiratory Diaphragms,0.5610083719436385
Abnormality description,Respiratory Diaphragms,0.5159989836776169
Abnormality description,Minor Disease,0.5271660615111456
Abnormality description,Abnormalities,0.3382470305902458
Abnormality description,Notable,1.0
Abnormality number (unique identifier),Unique,1.0
Abnormality number (unique identifier),Number Assigned,1.0
Abnormality number (unique identifier),Solute Carrier Family 33 Member 1,1.0
Abnormality number (unique identifier),Scientific Studies,0.3367136760168778
Abnormality number (unique identifier),Abnormalities,0.3113474875625399
Abnormality number (unique identifier),Scientific Studies,0.394216286658523
Abnormality number (unique identifier),Pid Pelvic Inflammatory Disease,0.3344057497749573
Abnormality number (unique identifier),Scientific Studies,0.3919477569451842
Abnormality number (unique identifier),Abnormalities,0.3441666500370011
Abnormality number (unique identifier),Tomography Spiral Computer Assisted,0.5081611920278318
Abnormality number (unique identifier),Abnormalities,1.0
Location of epicenter,Calcified Qualifier,0.8061008954403134
Location of epicenter,4 Mm,1.0
Location of epicenter,Diameter Qualifier Value,0.4250547741950125
Location of epicenter,No Apparent Adverse Event,0.4293132453261472
Location of epicenter,Structure Of Right Upper Lobe Of Lung,0.8111675400799981
Location of epicenter,Structure Of Right Middle Lobe Of Lung,0.9337394737526552
Location of epicenter,Structure Of Lower Lobe Of Right Lung,0.840304359575649
Location of epicenter,Structure Of Upper Lobe Of Left Lung,0.8886446409963985
Location of epicenter,Structure Of Lingula Of Left Lung,0.99
Location of epicenter,Structure Of Lower Lobe Of Left Lung,0.8482504661471137
Location of epicenter,Other : Specify,1.0
Was the abnormality not identified until the comparison with historical images?,Regardless,1.0
Was the abnormality not identified until the comparison with historical images?,Of Presence,1.0
Was the abnormality not identified until the comparison with historical images?,Screens Device,0.3808013783786071
Was the abnormality not identified until the comparison with historical images?,Of Presence,1.0
Longest diameter (in mm),Longest Measurement,0.7633362761984956
Longest diameter (in mm),Longest Measurement,0.7579408889183108
Longest diameter (in mm),Calcified Qualifier,0.7270457779024175
Longest diameter (in mm),4 Mm,1.0
Longest diameter (in mm),Diameter Qualifier Value,0.4262375266101726
Longest diameter (in mm),No Apparent Adverse Event,0.6623774240544793
Longest diameter (in mm),Could Not Be Determined,1.0
Margins,Margins Of Excision,0.530685621773644
Margins,Margins Of Excision,0.5441112155557299
Margins,Calcified Qualifier,0.5782105033804535
Margins,4 Mm,1.0
Margins,Diameter Qualifier Value,0.3596231404646995
Margins,No Apparent Adverse Event,0.5882061917347845
Margins,Micro Spiculations,1.0
Margins,Could Not Be Determined,1.0
Longest perpendicular diameter (same CT slice in mm),Longest Perpendicular,0.6374559806195366
Longest perpendicular diameter (same CT slice in mm),Diameter Qualifier Value,0.3827798215473594
Longest perpendicular diameter (same CT slice in mm),Slice,1.0
Longest perpendicular diameter (same CT slice in mm),Longest Measurement,0.7452995130712724
Longest perpendicular diameter (same CT slice in mm),Diameter Qualifier Value,0.3768670156297852
Longest perpendicular diameter (same CT slice in mm),Calcified Qualifier,0.7469848332476192
Longest perpendicular diameter (same CT slice in mm),4 Mm,1.0
Longest perpendicular diameter (same CT slice in mm),Diameter Qualifier Value,0.4246322165570156
Longest perpendicular diameter (same CT slice in mm),No Apparent Adverse Event,0.6583223216946767
Longest perpendicular diameter (same CT slice in mm),Could Not Be Determined,1.0
Predominant attenuation,Predominant,1.0
Predominant attenuation,Attenuation,0.5004648233716243
Predominant attenuation,Predominant,1.0
Predominant attenuation,Attenuation,0.5007233843697872
Predominant attenuation,Calcified Qualifier,0.8564754579999011
Predominant attenuation,4 Mm,1.0
Predominant attenuation,Diameter Qualifier Value,0.418629865288754
Predominant attenuation,No Apparent Adverse Event,0.6486730682464235
Predominant attenuation,Softly,0.5181656402652038
Predominant attenuation,Tissue Specimen,0.6776330266297691
Predominant attenuation,Ground Glass,1.0
Predominant attenuation,Body Fluids Substance,0.3717727541602247
Predominant attenuation,Unilocular Adipose Tissue,0.4971888314592062
Predominant attenuation,Could Not Be Determined,1.0
CT slice number containing abnormality's greatest diameter,Slice,1.0
CT slice number containing abnormality's greatest diameter,Count Of Entities,0.3627454461657397
CT slice number containing abnormality's greatest diameter,Contain Action,0.7907450115019338
CT slice number containing abnormality's greatest diameter,Longest Measurement,1.0
CT slice number containing abnormality's greatest diameter,Slice,1.0
CT slice number containing abnormality's greatest diameter,Count Of Entities,0.3500181690398061
CT slice number containing abnormality's greatest diameter,Contain Action,0.8278714151604627
CT slice number containing abnormality's greatest diameter,Longest Measurement,1.0
CT slice number containing abnormality's greatest diameter,Calcified Qualifier,0.7910668751701821
CT slice number containing abnormality's greatest diameter,4 Mm,1.0
CT slice number containing abnormality's greatest diameter,Diameter Qualifier Value,0.433472742752223
CT slice number containing abnormality's greatest diameter,No Apparent Adverse Event,0.66012580716673
Study year of screen,Scientific Studies,0.4417249657717108
Study year of screen,Screens Device,0.545533875882022
Study year of screen,Screening Trials,0.4439825938097859
Study year of screen,Active Follow Up,0.6648857907948227
Study year of screen,Screening Trials,0.360901899809067
Interval suspicious change in attenuation,Attenuation,0.4098372662603657
Interval suspicious change in attenuation,Attenuation,0.4633038722404852
Interval suspicious change in attenuation,Calcified Qualifier,0.8831487482586304
Interval suspicious change in attenuation,4 Mm,1.0
Interval suspicious change in attenuation,Diameter Qualifier Value,0.4445266957247369
Interval suspicious change in attenuation,No Apparent Adverse Event,0.368413061682362
Interval suspicious change in attenuation,Attenuation,0.4577505307976315
Interval suspicious change in attenuation,Calcified Qualifier,0.9123489175066825
Interval suspicious change in attenuation,4 Mm,1.0
Interval suspicious change in attenuation,Diameter Qualifier Value,0.4258529052865611
Interval suspicious change in attenuation,Attenuation,0.4764967021655307
Interval suspicious change in attenuation,Calcified Qualifier,0.9240821682054084
Interval suspicious change in attenuation,4 Mm,1.0
Interval suspicious change in attenuation,Diameter Qualifier Value,0.3890001701457606
Interval suspicious change in attenuation,Could Not Be Determined,1.0
Interval suspicious change in attenuation,Attenuation,0.4753524946190215
Interval suspicious change in attenuation,Calcified Qualifier,0.9091850245720732
Interval suspicious change in attenuation,4 Mm,1.0
Interval suspicious change in attenuation,Diameter Qualifier Value,0.4524719098475235
Abnormality code number,Abnormalities,0.3181448332777093
Abnormality code number,Equivalent Unit,1.0
Abnormality code number,Abnormalities,0.3680784722326112
Abnormality code number,Tomography Spiral Computer Assisted,0.3355422453385575
Abnormality code number,Abnormalities,0.4029453443702342
Abnormality code number,Screening Trials,0.3289276184137978
Abnormality code number,Usages,0.3752255409710208
Abnormality code number,Numbering System,1.0
Abnormality code number,Calcified Qualifier,0.9712400460052656
Abnormality code number,Mass Of Body Structure,0.775165735839612
Abnormality code number,Increased Mass To Volume Ratio,0.99
Abnormality code number,4 Mm,1.0
Abnormality code number,Diameter Qualifier Value,0.4137618153035485
